0x00, 0x08, 0x13, 0x6c, 0x6c, 0x13, 0x08, 0x00, 
0x18, 0xd3, 0x76, 0x3c, 0x3c, 0x76, 0xd3, 0x18, 
0x61, 0x9a, 0x2f, 0x34, 0x34, 0x2f, 0x9a, 0x61, 
0x00, 0x00, 0x05, 0x16, 0x05, 0x00, 0x00, 0x00, 
0x60, 0xbf, 0x2e, 0x34, 0x34, 0x2e, 0xbf, 0x60, 
0x00, 0x00, 0x29, 0x5e, 0x2b, 0x00, 0x00, 0x00, 
0x00, 0x10, 0x13, 0xdc, 0xdc, 0x13, 0x08, 0x00, 
0x00, 0x01, 0x07, 0x0d, 0x0f, 0x0d, 0x07, 0x01, 
0x31, 0x7b, 0xee, 0xff, 0xff, 0xee, 0x7b, 0x31, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x42, 0xdb, 0x3c, 0x2e, 0x39, 0x2e, 0xdb, 0x42, 
